[2026-09-18T13:12:49.316Z] GET https://www.google.com/maps/_/ss/k=maps.m.V-IEtfplxwo.L.W.O/m=GfLzUe,tNOPW,cZ2KIb,Rq2f7d,omhq0,MJcXSb,WEtKm,B863O,bEpRLd,ItB2Fd,EUHafb,PwZekb,dEsJDd,iDMycd,b/am=IGQAAADCKQAQ/d=1/rs=ACT90oEcfxT67o-G92qPqX8Sf8CTALMtSQ → 200 (9ms, 44638B)
[2026-09-18T13:12:49.655Z] GET https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif → 200 (104ms, 2082B)
[2026-09-18T13:12:49.657Z] GET https://maps.gstatic.com/tactile/basepage/grid-image.png → 200 (107ms, 235B)
[2026-09-18T13:12:49.986Z] GET blob:https://www.google.com/0adaca9d-978f-4fd2-bcb3-bdabb120c6b8 → pending (?ms, ?B)
[2026-09-18T13:12:49.995Z] GET blob:https://www.google.com/8e996061-f11b-4bc9-a641-9623ba752cc5 → pending (?ms, ?B)
[2026-09-18T13:12:49.996Z] GET blob:https://www.google.com/6c0749bd-0e16-4194-9406-4debc8d34e7c → pending (?ms, ?B)
[2026-09-18T13:12:49.996Z] GET blob:https://www.google.com/7c0738f2-8553-4f84-8b54-c21899b8f0ac → pending (?ms, ?B)
[2026-09-18T13:12:49.996Z] GET blob:https://www.google.com/4429e35e-6f16-43a1-82c8-bfee1e510eb8 → pending (?ms, ?B)
[2026-09-18T13:12:49.997Z] GET blob:https://www.google.com/dc88b961-9756-4bb1-a70a-b31dc6d2695d → pending (?ms, ?B)
[2026-09-18T13:12:50.004Z] GET https://www.google.com/maps/vt/pb=!1m4!1m3!1i16!2i32093!3i24710!2m3!1e0!2sm!3i795561530!2m2!1e2!2scategorical-search-results-injection!3m8!2sen!3sus!5e1105!12m4!1e68!2m2!1sset!2sRoadmap!4e0!5m1!1e0!23i1368782!23i1368785!23i4861626!23i10211310!23i1381938!23i47054629!23i47029525!23i72272233!23i72272234!23i72272236!23i94255677!23i72860224!23i94260020!23i100799651!23i72549439!23i100760044!27m53!299174093m52!2sVIPS%20Gran%20V%C3%ADa%20Madrid!5m8!1m2!1y955370586329933689!2y13744168736844220368!2s%2Fg%2F1hc142bsg!4m2!1x404226134!2x4257867444!15sgcid%3Arestaurant!5m8!1m2!1y955371626088548317!2y13475577950669906185!2s%2Fg%2F1v_vv5_3!4m2!1x404211758!2x4257891285!15sgcid%3Arestaurant!6e4!8e1!13m29!1m27!1m2!1srestaurant!3f0.85866684!1m2!1sfamily_restaurant!3f0.67332214!1m2!1swi_fi_spot!3f0.6695329!1m2!1sbreakfast_restaurant!3f0.667481!1m2!1scafeteria!3f0.6662636!1m2!1sbrunch_restaurant!3f0.66547346!1m2!1smeal_takeaway!3f0.665044!1m2!1shamburger_restaurant!3f0.6650365!1m2!1smexican_restaurant!3f0.2791924!2f0.85866684!17b1 → 200 (176ms, 16389B)
